cell_id,lat,lon,depth_km,Degree,Betweenness,Closeness,PageRank,community
70_125_0,45.35216666666667,11.338500000000002,0.0,0.0003597553663508814,5.867774326158641e-06,0.2813048171636756,2.1496230037563483e-05,1
80_105_1,43.490621348314605,12.458374157303371,10.0,0.008334332653795419,0.001035572432619132,0.331070350960775,0.00044498779103474594,1
83_97_0,42.76909235412475,12.775521327967807,0.0,0.03321741215973138,0.010852048950666464,0.3809589072386304,0.0020092785869816714,0
71_125_0,45.31485,11.4226,0.0,0.0002398369109005876,1.3066514679729107e-06,0.25700768958131076,1.6821318257413066e-05,11
79_107_1,43.68350454545455,12.368581818181816,10.0,0.0026382060199064633,0.0002700352120302637,0.3059678218275881,0.00011857166341480722,5
77_134_1,46.11913333333333,12.241999999999999,10.0,0.0007195107327017628,9.54424330954226e-07,0.29058280338008535,4.120877586279589e-05,8
94_130_1,45.68238,14.390049999999999,10.0,0.001199184554502938,2.445248231460418e-05,0.2842534044620183,5.718805675302111e-05,3
86_134_1,46.10247777777778,13.442511111111111,10.0,0.0010792660990526443,8.138587516582463e-06,0.28882154299073515,4.7257106465401665e-05,5
110_40_1,37.50835,15.588149999999999,10.0,0.0002398369109005876,1.8758224013986067e-07,0.2516826125011318,1.778163392435148e-05,3
64_130_1,45.8082375,10.55595,10.0,0.0009593476436023504,7.919053630699831e-06,0.2933839956374127,5.393191148250404e-05,9
112_41_1,37.60276666666667,15.825683333333332,10.0,0.0007195107327017628,7.711365905284876e-05,0.29952766652897755,3.470329690785752e-05,11
88_129_0,45.6275,13.694,0.0,0.0002398369109005876,1.0651898846812934e-07,0.26301845134836777,1.8026538225234817e-05,11
69_134_1,46.13733333333334,11.224333333333334,10.0,0.0007195107327017628,7.294987929271042e-05,0.286253711618008,3.990823938750888e-05,9
43_95_1,42.66466666666667,7.9319999999999995,10.0,0.0003597553663508814,4.4639518879202035e-06,0.2948049422869567,2.080211055064421e-05,9
86_135_1,46.185475,13.43305,10.0,0.0009593476436023504,8.341694267052773e-05,0.266068950114066,4.6606713285612935e-05,7
81_98_1,42.874564864864865,12.594805405405404,10.0,0.00443698285166087,0.000371033392226704,0.31937954806587515,0.00020810571748145954,11
85_137_0,46.342776190476194,13.279719047619048,0.0,0.00251828756445617,0.0003534817523592672,0.3102133437494187,9.492802288831231e-05,11
79_136_1,46.29296969696969,12.55868181818182,10.0,0.0032377982971579324,0.00015789977321427822,0.3147208121827411,0.00017467457255317793,14
88_134_0,46.05574285714286,13.676361904761904,0.0,0.002278450653555582,0.000442499495914727,0.2885966430178232,0.00011653991547971927,9
83_98_1,42.86367142857143,12.834551298701298,10.0,0.015529439980813046,0.0025510167936898405,0.3645703543401753,0.0006565161652964757,9
104_77_1,40.85611176470589,15.182558823529412,10.0,0.011752008634128792,0.0016910086059850858,0.3400481180932186,0.0005948695349047949,5
117_119_1,44.5275,17.1965,10.0,0.0002398369109005876,4.6864492907297917e-07,0.22948428642192745,2.7759258654951678e-05,9
84_139_0,46.52383125,13.20641875,0.0,0.0019186952872047008,0.00022177534593278522,0.2960241391551296,9.594302529419794e-05,11
82_124_1,45.24,12.859,10.0,0.0001199184554502938,1.0859782771785565e-08,0.2284219464760183,1.4235029910613635e-05,11
112_59_6,39.1975,15.964233333333334,60.0,0.0003597553663508814,1.4786559291470933e-07,0.2857191804289728,2.8713228781066833e-05,11
88_101_1,43.11973454545454,13.449251363636364,10.0,0.01858736059479554,0.006485368431734034,0.35568351460865855,0.0009956799399526324,11
35_113_1,44.250125,6.8771249999999995,10.0,0.0009593476436023504,9.34081125406519e-05,0.27252969916825986,4.848399220373776e-05,5
108_74_1,40.570978125,15.609590625,10.0,0.0037174721189591076,0.0005609591645172245,0.31758545177568315,0.00015238085234286851,8
79_140_0,46.64,12.564,0.0,0.0004796738218011752,3.1455698989415685e-06,0.2455644389475389,4.454965195690069e-05,5
152_56_0,38.599,20.495,0.0,0.0003597553663508814,3.640009998701147e-05,0.2888965875627923,2.5200801756834127e-05,5
81_93_1,42.42061875,12.57244375,10.0,0.0019186952872047008,0.00021943326226117325,0.3090464366452952,7.650970620849904e-05,5
80_139_1,46.57033333333334,12.673666666666668,10.0,0.0003597553663508814,6.037154226524347e-05,0.25842139514704515,2.510967216133296e-05,5
80_139_0,46.52561666666667,12.698716666666668,0.0,0.0007195107327017628,9.52513797194082e-05,0.3055866024149367,3.542410797809732e-05,14
79_140_1,46.6546,12.580649999999999,10.0,0.0002398369109005876,5.996352029183767e-05,0.24592653759381866,1.7853224094449157e-05,14
