cell_id,lat,lon,depth_km,Degree,Betweenness,Closeness,PageRank,community
65_273_0,46.85408195936639,-121.76709986129477,0.0,0.013457418318157471,0.000672863704417209,0.3894654498044329,0.00033588510301259727,2
46_154_1,36.16178541060311,-120.28622817832932,10.0,0.022161221210498124,0.0012424484804527658,0.40349573838693553,0.0005521020337351663,2
55_136_1,34.7830208375,-118.8585520875,10.0,0.0010377611140867703,6.150588139702553e-06,0.33787268696557027,3.0499430562099714e-05,6
47_154_1,36.15169021993205,-120.19959742522626,10.0,0.0233663631494376,0.0016572998753420223,0.40680920604657494,0.0005906173204344168,2
62_165_1,37.47140198503928,-118.82443264594009,10.0,0.020587841456882697,0.002533792298298301,0.40256047436156595,0.0005121079716779866,5
44_159_0,36.53009419710145,-120.66357971304348,0.0,0.001439475093733262,3.9735011427459956e-05,0.3428479610692192,3.377126756555844e-05,2
67_125_1,34.05747768738292,-117.26901749360881,10.0,0.04987948580610605,0.005557275352998581,0.43011000403156135,0.0015383377773728903,7
73_115_1,33.337690582560704,-116.38058903598235,10.0,0.02226164970540975,0.0016720081481180697,0.40632778813063647,0.0005814564557411906,2
64_164_0,37.41852054654088,-118.59138553354296,0.0,0.007799946438136047,0.00032652737188926066,0.38386019018247236,0.00019946473127728262,4
64_164_1,37.41270673759877,-118.58725123492283,10.0,0.03347616497054098,0.002624808562496467,0.41435368204957485,0.0009200160250825792,4
43_201_1,40.118,-122.05805556666667,10.0,0.00020085698982324584,4.065717918784659e-08,0.30373157092018305,7.760850622474991e-06,5
72_111_0,32.96302083379629,-116.41881944398149,0.0,0.004418853776111408,0.00012781094961986163,0.361900608175232,8.937211128153655e-05,2
48_189_1,39.216583299999996,-121.06541665,10.0,0.0001339046598821639,1.1644273273627323e-09,0.2855940953764962,7.102148525336169e-06,4
74_115_1,33.336337049944255,-116.30871404738015,10.0,0.04000401713979646,0.003762568424349828,0.42242805628225977,0.001140392054691513,2
42_160_0,36.56866667142857,-120.9014583357143,0.0,0.0018077129084092126,2.4508474881952548e-05,0.34387015080004607,3.924068029712596e-05,5
65_110_0,32.69496296296296,-117.12304938333334,0.0,0.0023433315479378684,1.7569792380084474e-05,0.3647820246672365,7.065608006332408e-05,4
62_167_0,37.636116757709004,-118.90612521224973,0.0,0.14916979110873058,0.03509584780667641,0.4693460704521887,0.01194052584179263,5
61_144_0,35.58879032043011,-118.38003225698925,0.0,0.010109801821103374,0.00030810999660054047,0.38760072143144453,0.00023611132839745203,5
30_216_0,41.083611100000006,-124.0521111,0.0,0.00020085698982324584,2.0989011828220026e-07,0.31847160920275486,8.190895208702548e-06,2
44_204_2,40.401659684381784,-122.03773614725613,20.0,0.0015064274236743437,3.830220451152655e-05,0.36133152699825816,3.291058781928149e-05,2
74_111_0,32.99287179615384,-116.23727563846154,0.0,0.0031132833422603105,0.00012882617104992828,0.36807215554843636,7.175021544652498e-05,10
82_102_0,32.33445923441558,-115.16205158571428,0.0,0.01831146223888591,0.0016967641687317373,0.39831457677742815,0.0005031723287143337,5
44_152_0,35.921702784421235,-120.47037380226284,0.0,0.01272094268880557,0.0005673868608486663,0.3899077180113036,0.00047823636236198216,2
71_120_1,33.68907003785714,-116.74204344976191,10.0,0.03903320835565077,0.003556741151969285,0.4208805917576611,0.0010322101153940606,5
42_196_0,39.68730556666667,-121.99786110000001,0.0,0.0004017139796464917,6.42855931717087e-09,0.3048878818498219,1.1193595484697806e-05,7
71_126_1,34.22658563952569,-116.86354216086956,10.0,0.011950990894483128,0.0006529614334658027,0.38584843513866107,0.00027729509349527407,5
67_148_0,36.069292758868755,-117.86426090533895,0.0,0.11204472415640064,0.028628946250636795,0.45953388200907624,0.0061518333693003245,3
